carat,cut,color,clarity,depth,table,x,y,z,price
1.23,Ideal,G,VS2,62.4,57,6.83,6.88,4.28,8085
0.3,Premium,H,VVS1,61.8,58,4.32,4.36,2.68,684
0.59,Ideal,J,VS1,58.7,56,5.52,5.48,3.23,1330
1.55,Very Good,G,SI2,61.9,60,7.31,7.36,4.54,8873
0.65,Ideal,E,VVS2,62.1,57,5.55,5.6,3.46,3023
0.72,Very Good,F,VS2,63.6,58,5.66,5.69,3.61,2787
0.5,Very Good,F,SI2,62.9,63,4.99,4.93,3.12,1125
0.59,Good,I,VVS2,57.8,61,5.52,5.6,3.21,1427
1.01,Ideal,F,SI2,62.9,57,6.35,6.41,4.01,4858
1.01,Fair,G,VS2,68.9,60,6.06,6.02,4.17,5294
0.32,Ideal,F,VS2,61.2,56,4.41,4.44,2.71,645
1.51,Good,H,SI1,61.8,61,7.25,7.32,4.5,9218
0.35,Premium,E,SI1,61.2,58,4.59,4.53,2.79,788
0.3,Premium,D,VS2,61.1,59,4.26,4.31,2.62,710
0.31,Good,D,SI1,63.8,57,4.33,4.29,2.75,684
0.37,Ideal,H,IF,61.4,55,4.63,4.66,2.85,936
1.06,Ideal,I,SI1,62.6,56,6.46,6.54,4.07,4646
0.35,Premium,G,SI1,60.3,60,4.57,4.59,2.76,522
0.37,Premium,G,VS2,61.2,57,4.63,4.59,2.82,833
0.69,Fair,I,VS1,57.9,63,5.73,5.77,3.33,1692
0.36,Ideal,H,VS2,62.1,55,4.58,4.57,2.84,729
1.06,Very Good,H,SI2,62.4,54,6.5,6.54,4.07,4516
0.41,Ideal,G,VS2,62.4,54,4.81,4.78,2.99,1061
0.9,Very Good,E,SI1,61.6,57,6.19,6.25,3.83,4463
1.01,Very Good,F,VVS2,61.8,55,6.36,6.45,3.96,8532
0.32,Ideal,E,VS1,61.5,55,4.43,4.45,2.73,825
1.02,Ideal,I,SI2,60.7,57,6.54,6.57,3.98,3786
1.01,Very Good,F,SI1,63.2,56,6.32,6.37,4.01,5107
0.9,Premium,D,SI1,61.5,58,6.21,6.15,3.8,4304
0.44,Premium,E,VS2,62.3,59,4.81,4.91,3.03,1003
1.03,Ideal,G,SI1,60.5,55,6.59,6.54,3.97,5445
0.33,Very Good,G,IF,62.6,55,4.41,4.44,2.77,898
0.35,Premium,H,SI2,61.6,58,4.49,4.54,2.78,441
0.81,Very Good,E,SI1,59.5,60,6.05,6.09,3.61,2973
0.45,Ideal,I,VS1,61.6,54,4.95,4.99,3.06,825
1.72,Good,F,SI1,64.3,60,7.56,7.52,4.85,13622
0.62,Ideal,D,SI1,61.6,55,5.49,5.51,3.39,1934
0.32,Ideal,H,VS1,61.3,55,4.43,4.41,2.71,720
0.52,Premium,D,SI1,61.4,58,5.19,5.16,3.18,1720
0.3,Premium,E,VS1,60.2,57,4.37,4.3,2.61,814
0.91,Good,I,SI1,64.2,59,6.05,5.98,3.86,2700
0.55,Ideal,G,VS2,61.2,56.8,5.28,5.31,3.24,1604
0.55,Ideal,E,SI1,61.7,56,5.24,5.29,3.25,1551
1.54,Premium,J,SI1,61.2,59,7.45,7.41,4.55,7589
0.31,Premium,F,VS2,61.8,59,4.31,4.33,2.67,625
1.05,Premium,F,VVS2,61.3,59,6.56,6.48,4,8693
0.4,Premium,D,VS2,62.4,59,4.7,4.72,2.94,982
0.71,Ideal,G,VVS1,61.4,59,5.7,5.76,3.52,3332
0.76,Good,F,VS1,59.9,61,5.89,5.98,3.56,3057
0.32,Ideal,I,VS2,61.6,56,4.39,4.37,2.7,576
0.51,Very Good,J,VS2,61.9,61,5.09,5.12,3.16,984
1.08,Premium,D,SI1,61.6,56,6.64,6.57,4.07,5419
1.16,Premium,G,VS1,61.9,58,6.76,6.72,4.17,8107
1.15,Ideal,E,SI1,62.7,56,6.73,6.7,4.21,5526
0.41,Very Good,G,VS1,60.5,56,4.83,4.85,2.93,823
0.84,Ideal,D,SI2,61.8,56,6.04,6.06,3.74,3246
1.63,Good,F,SI1,59.8,56,7.57,7.64,4.55,13187
1.08,Ideal,J,SI1,61.8,56,6.58,6.55,4.06,4524
0.53,Premium,E,VS2,60.9,60,5.22,5.16,3.16,1813
1.01,Premium,F,SI2,62.2,57,6.43,6.36,3.98,4796
1.01,Premium,E,SI1,62.4,58,6.37,6.42,3.99,4399
1.08,Ideal,G,SI2,61.3,57,6.55,6.64,4.04,5057
0.46,Very Good,F,SI1,63.1,56,4.9,4.87,3.08,1006
2.01,Premium,H,VS2,61.6,61,8.14,8.07,4.99,17191
1.52,Very Good,D,SI2,61.2,63,7.31,7.39,4.5,8868
0.31,Ideal,F,VS2,62.9,56,4.32,4.3,2.71,802
0.72,Ideal,F,SI2,61.9,54.1,5.73,5.83,3.57,2651
0.32,Ideal,F,VVS1,61.8,56,4.45,4.42,2.74,990
0.3,Ideal,D,VVS2,59.5,56,4.38,4.42,2.62,741
0.9,Premium,G,VS2,60.2,59,6.28,6.22,3.76,4424
1.52,Premium,I,SI1,60.5,60,7.48,7.4,4.5,8852
0.51,Premium,E,VS2,61.5,60,5.12,5.09,3.14,1567
0.5,Very Good,E,SI2,60.8,61,5.08,5.09,3.09,1046
0.51,Ideal,G,VS2,62.4,56,5.11,5.14,3.2,1438
0.41,Good,E,SI1,63.9,58,4.72,4.7,3.01,969
1,Good,J,VVS2,63.7,57,6.34,6.31,4.03,3265
1.02,Premium,E,I1,60.4,62,6.52,6.47,3.92,3519
0.32,Premium,G,VS1,61.7,58,4.41,4.38,2.71,828
0.58,Very Good,E,SI1,63.1,56,5.36,5.32,3.37,1641
0.4,Very Good,D,SI1,60.3,62,4.7,4.75,2.85,720
1.01,Ideal,G,VS2,61.6,57,6.44,6.41,3.96,6271
1.23,Very Good,H,SI1,62.3,58,6.79,6.83,4.24,6542
0.52,Ideal,D,SI1,62.4,56,5.17,5.12,3.21,1720
0.7,Good,E,VS1,63.6,58,5.67,5.62,3.59,3175
1.01,Very Good,H,VVS1,60.6,56,6.5,6.53,3.95,6733
0.42,Very Good,D,SI1,62.3,58,4.8,4.83,3,784
1.1,Ideal,G,VS1,61.3,57,6.59,6.66,4.06,7550
0.71,Premium,E,VVS2,59,59,5.88,5.82,3.45,3380
0.77,Premium,F,SI1,60,61,5.97,5.93,3.57,2745
0.4,Ideal,E,VVS2,61.4,59,4.71,4.74,2.9,1106
1.01,Very Good,H,SI1,62.5,58,6.37,6.42,4,4052
0.41,Ideal,D,VS2,62.4,54,4.74,4.78,2.97,1007
0.31,Ideal,D,VS1,60.5,57,4.4,4.43,2.67,766
1.03,Ideal,G,VVS1,62.4,57,6.47,6.39,4.01,8608
1.42,Ideal,I,VS2,60.4,55,7.28,7.38,4.43,8173
0.28,Very Good,G,VVS1,61.9,55,4.18,4.2,2.6,586
0.37,Premium,I,VVS1,62.4,58,4.58,4.55,2.85,874
0.72,Ideal,J,VVS1,62.4,58,5.71,5.76,3.58,2139
0.3,Ideal,G,IF,62.5,54,4.31,4.33,2.7,863
0.3,Premium,D,VS1,59.4,60,4.38,4.34,2.59,848
0.3,Ideal,F,VS2,61.6,57,4.3,4.33,2.66,605
1.26,Premium,H,SI1,62.1,57,6.94,6.88,4.29,6435
0.7,Fair,G,SI1,64.8,59,5.65,5.56,3.63,2016
2.02,Premium,H,SI1,62.2,59,8.09,8.05,5.02,14574
0.3,Premium,E,VS2,62.5,58,4.26,4.31,2.68,658
1.2,Ideal,H,VS1,60.9,57,6.87,6.9,4.19,8852
1.51,Premium,H,SI2,60.2,59,7.43,7.33,4.44,8598
1.97,Very Good,H,VS2,62.9,59,7.9,8.01,5,17377
1,Premium,E,VS1,61.1,60,6.43,6.41,3.92,7588
0.91,Premium,H,VS1,61,59,6.25,6.18,3.79,4670
0.32,Ideal,G,IF,61,56,4.41,4.44,2.7,918
0.6,Good,J,VS1,58.9,60.5,5.5,5.57,3.26,1306
1.21,Premium,D,SI2,62.5,57,6.79,6.71,4.22,6505
0.77,Ideal,D,SI1,60.8,57,5.9,5.94,3.6,3309
1.04,Very Good,E,SI1,62.8,59,6.46,6.41,4.04,5689
0.41,Ideal,I,VS1,60.9,53,4.8,4.85,2.94,755
1.03,Fair,D,SI2,66.4,56,6.31,6.19,4.15,3743
1.08,Very Good,I,VS1,62.5,57,6.51,6.54,4.08,4790
1.31,Good,I,VS2,62.5,56,7.03,6.98,4.38,7236
0.32,Ideal,J,IF,62.2,55,4.44,4.4,2.75,684
0.36,Very Good,G,VS1,59.7,56,4.64,4.67,2.78,726
0.41,Very Good,D,SI1,63,56,4.75,4.8,3.01,717
0.71,Ideal,F,SI1,61.3,56,5.73,5.79,3.53,2491
0.4,Ideal,F,VS1,62.7,55,4.74,4.76,2.98,982
1.04,Ideal,I,SI1,61.8,59,6.46,6.48,4,4484
0.3,Ideal,D,SI1,61.7,56,4.35,4.31,2.67,709
0.77,Ideal,F,SI1,61.5,56,5.89,5.95,3.64,3108
0.88,Very Good,H,VS2,63.2,57,6.08,6.15,3.87,3472
0.32,Ideal,E,VS2,62.1,55,4.4,4.42,2.74,702
1.15,Very Good,G,VS2,60.1,60,6.75,6.8,4.08,7175
1.22,Premium,H,VS2,60.9,58,6.89,6.86,4.19,6354
0.31,Ideal,D,VVS1,62.3,54,4.36,4.4,2.73,949
1.02,Premium,D,SI2,59.5,62,6.56,6.52,3.89,4912
0.33,Very Good,H,VS1,59.7,59,4.52,4.53,2.7,579
1.02,Premium,D,SI2,60.9,61,6.39,6.31,3.87,4381
0.53,Ideal,H,SI1,61.3,55,5.23,5.27,3.22,1268
0.4,Ideal,F,VVS1,61.3,56,4.76,4.73,2.91,1323
0.32,Very Good,F,VVS2,63.8,55,4.33,4.39,2.78,701
1.2,Fair,I,I1,62.2,66,6.77,6.7,4.2,3011
0.71,Fair,H,SI1,65.9,57,5.54,5.48,3.63,1828
0.34,Ideal,D,VVS2,61.8,55,4.46,4.48,2.76,1130
1.11,Ideal,D,VVS1,62.1,55,6.63,6.64,4.12,14584
0.7,Premium,E,SI2,62.9,59,5.71,5.64,3.57,2273
1.12,Ideal,E,SI1,61.6,55,6.69,6.66,4.11,6458
0.4,Premium,E,VS1,60.3,58,4.8,4.82,2.9,1053
1.01,Ideal,G,SI1,62.9,54,6.47,6.41,4.05,4672
0.72,Ideal,G,VS2,61.3,56,5.77,5.81,3.55,2960
0.71,Ideal,I,VVS1,62.4,55,5.69,5.76,3.57,2559
1.49,Very Good,H,VS2,62.7,60,7.24,7.31,4.56,9552
0.7,Premium,F,VVS2,62.6,59,5.66,5.62,3.53,3105
0.72,Ideal,F,SI1,62,55,5.76,5.79,3.58,2737
2.01,Good,E,SI2,60,64,8.09,8.17,4.88,16582
1.17,Very Good,H,SI1,59.6,62,6.88,6.82,4.08,6336
0.9,Premium,H,SI1,61.4,60,6.13,6.08,3.75,3387
0.31,Very Good,H,SI1,62.4,57,4.31,4.35,2.7,435
2.48,Very Good,H,SI1,63.3,56,8.6,8.55,5.43,17893
0.51,Very Good,H,VVS1,60.9,56,5.17,5.22,3.16,1668
0.74,Premium,F,VS2,62.3,58,5.77,5.72,3.58,2560
1.52,Very Good,F,VS2,62.9,53.3,7.31,7.36,4.61,15649
2.25,Ideal,I,SI2,60.5,56,8.49,8.54,5.15,16575
1.21,Very Good,H,SI1,63.1,60,6.74,6.69,4.24,5871
1.11,Very Good,J,SI1,62.4,57.7,6.57,6.64,4.12,4316
0.5,Very Good,H,VS1,62.5,58,5.04,5.1,3.17,1410
0.3,Ideal,E,VS2,62.4,57,4.29,4.24,2.66,844
0.34,Premium,G,IF,62.3,59,4.46,4.49,2.79,1014
0.41,Ideal,E,VS1,61.7,55,4.78,4.75,2.94,1153
0.33,Ideal,E,VS2,61.6,57,4.46,4.44,2.74,928
1.03,Premium,G,SI2,60.6,60,6.53,6.5,3.95,4557
1.01,Premium,H,SI2,60.1,58,6.55,6.52,3.93,3620
0.37,Premium,F,VS2,59.7,62,4.7,4.68,2.8,894
0.53,Premium,G,VS1,62.4,58,5.16,5.2,3.23,1721
0.35,Ideal,G,IF,62.6,57,4.51,4.53,2.82,979
0.9,Very Good,I,VS2,58.4,62,6.29,6.35,3.69,3334
0.3,Ideal,E,VVS1,62.3,55,4.29,4.32,2.68,826
1.57,Very Good,J,VS2,62,58,7.45,7.48,4.63,8538
0.84,Very Good,E,SI2,62.1,58,6.02,6.09,3.76,3125
1.5,Premium,I,VVS2,60.2,58,7.5,7.34,4.47,10483
1.01,Good,H,SI1,63.7,60,6.35,6.3,4.03,4836
1.02,Ideal,G,SI1,62.2,56,6.44,6.46,4.01,5082
1.2,Premium,F,VS2,60.1,57,6.82,6.76,4.08,7865
2.01,Premium,F,SI2,62,60,7.88,7.82,4.87,11903
1.3,Ideal,G,VS1,62,55,6.98,7.02,4.34,10038
1.5,Very Good,E,SI1,64,58,7.21,7.23,4.62,11194
1.36,Premium,G,I1,62.1,57,7.11,7.06,4.4,4509
0.41,Very Good,H,VVS2,62.4,54,4.75,4.77,2.97,873
1.13,Very Good,H,SI2,59.8,59,6.75,6.82,4.06,4537
0.34,Ideal,E,VS1,61.8,57,4.5,4.47,2.77,1033
0.31,Ideal,G,VS1,61.5,56,4.43,4.39,2.71,802
0.9,Good,G,SI1,63.7,60,6.07,6.11,3.88,3734
0.54,Ideal,G,VS2,60.4,57,5.33,5.26,3.2,1637
1.07,Ideal,H,VVS1,61.7,56,6.56,6.68,4.06,7273
2.32,Ideal,I,SI2,62,57,8.45,8.49,5.25,17516
0.43,Ideal,D,SI1,62.5,55,4.8,4.83,3.01,774
1.01,Ideal,G,SI1,61.4,57,6.44,6.5,3.97,4653
0.97,Ideal,H,SI2,61.6,55,6.37,6.32,3.91,3694
0.31,Ideal,E,VVS2,60.8,57,4.36,4.39,2.66,816
2.21,Premium,F,SI1,62.1,59,8.33,8.26,5.15,16804
1.01,Fair,E,I1,64.5,54,6.31,6.22,4.03,2036
1.24,Ideal,H,SI2,62,56,6.9,6.87,4.27,5902
1.5,Very Good,H,VVS2,62.7,58,7.21,7.24,4.53,11303
0.66,Ideal,D,VVS2,61.3,57,5.59,5.63,3.44,3915
0.42,Very Good,I,SI1,61,55.8,4.83,4.86,2.96,712
0.9,Very Good,F,SI1,60.4,60,6.23,6.29,3.78,3950
1.22,Very Good,G,VS2,62.7,58,6.8,6.72,4.24,8377
1.01,Premium,H,SI2,58.8,58,6.62,6.57,3.88,4242
2.04,Premium,G,SI2,62.1,59,8.14,8.06,5.03,14900
0.3,Premium,I,VS1,60.4,58,4.4,4.34,2.64,608
1.61,Very Good,I,SI2,60.9,63,7.54,7.5,4.58,7775
0.47,Ideal,E,VS1,61.8,53,4.99,5.04,3.1,1721
0.33,Ideal,G,IF,61.6,56,4.48,4.45,2.75,1052
0.8,Premium,D,SI1,59.4,55,6.06,6.02,3.59,3226
1.13,Premium,E,VS1,61.1,59,6.72,6.69,4.1,8353
0.92,Premium,E,SI1,59.8,59,6.33,6.37,3.8,4562
0.7,Fair,G,VS2,65.3,57,5.58,5.47,3.61,2338
1,Very Good,D,SI2,62.8,58,6.29,6.39,3.98,4595
1.21,Very Good,I,VS2,62,57,6.78,6.83,4.22,5931
0.91,Premium,E,I1,59.6,59,6.29,6.32,3.76,2464
0.32,Ideal,D,SI1,60.8,57,4.44,4.41,2.69,756
1.5,Premium,J,VS2,59.6,60,7.38,7.31,4.38,7503
1.57,Ideal,G,VS2,62.7,55,7.42,7.49,4.68,12506
0.52,Ideal,D,I1,61.1,57,5.18,5.2,3.17,971
0.71,Ideal,H,SI1,62.1,57,5.68,5.73,3.54,2313
0.62,Ideal,E,SI1,61.7,54,5.53,5.49,3.4,2054
1.1,Ideal,H,SI2,62,55,6.61,6.65,4.11,4733
0.59,Ideal,D,SI1,61.8,56,5.4,5.37,3.33,1912
2.01,Premium,I,VS2,61.6,61,8.08,7.97,4.94,16149
1.57,Premium,H,VS1,61.7,58,7.47,7.56,4.64,10880
0.41,Ideal,G,SI2,61.7,56,4.79,4.81,2.96,648
2.8,Premium,I,SI2,61.1,59,9.03,8.98,5.5,15030
0.52,Very Good,D,SI1,63.8,56,5.06,5.1,3.24,1452
