carat,cut,color,clarity,depth,table,x,y,z,price
2.06,Ideal,J,SI2,61.9,55,8.19,8.23,5.08,11234
0.33,Very Good,F,VS2,63.2,56,4.41,4.39,2.78,854
0.3,Ideal,H,IF,62,55,4.33,4.35,2.69,764
1.25,Premium,I,SI1,59.7,59,6.97,7.03,4.18,5293
1.25,Ideal,G,IF,60.2,54,6.99,7.03,4.22,11511
1.33,Premium,G,SI2,63,59,7,6.97,4.4,6480
0.5,Very Good,G,VVS2,60.9,61,5.11,5.13,3.12,1838
0.7,Premium,E,VS2,62.8,61,5.66,5.62,3.54,2737
1.38,Ideal,J,SI2,62.6,56,7.05,7.16,4.45,5969
0.6,Ideal,D,VVS1,61.6,56,5.41,5.43,3.34,3570
0.56,Very Good,G,SI1,58.8,59,5.38,5.4,3.17,1340
0.54,Premium,G,VS2,58.7,62,5.36,5.34,3.14,1637
0.4,Good,F,VS2,62.2,61,4.71,4.74,2.94,784
0.37,Ideal,G,VS1,60.9,57,4.65,4.68,2.84,798
0.85,Very Good,E,VS2,63.6,56,5.97,6.01,3.81,3997
1.22,Premium,E,SI1,62.6,58,6.78,6.8,4.25,7262
0.59,Premium,G,VS2,61.1,57,5.43,5.4,3.31,1789
0.77,Very Good,G,VS2,58.3,63,6,6.05,3.51,2896
1.08,Ideal,H,VVS2,62.4,55,6.53,6.57,4.09,6856
1.14,Ideal,D,SI2,61.4,56,6.69,6.77,4.13,5548
0.46,Premium,E,VS1,61.9,58,4.94,4.91,3.05,1437
0.73,Ideal,E,VS2,62.2,56,5.76,5.78,3.59,3328
1.15,Ideal,F,VS1,61.1,55,6.76,6.82,4.15,10316
0.56,Ideal,G,SI1,62.5,56,5.21,5.28,3.28,1340
0.57,Ideal,G,VVS2,61.7,54,5.41,5.32,3.31,2206
1.01,Very Good,E,VS2,64,56,6.22,6.37,4.03,6771
1.2,Very Good,E,SI2,61.4,58,6.81,6.88,4.2,6130
1,Ideal,F,SI1,63,56,6.41,6.38,4.03,5656
1.43,Very Good,D,SI1,63.5,56,7.24,7.09,4.55,9450
0.51,Premium,J,SI1,61.7,56,5.17,5.14,3.18,956
0.9,Very Good,F,VS2,62.2,57,6.17,6.24,3.86,4617
1.13,Ideal,G,SI1,62,55,6.68,6.71,4.15,6133
2.06,Premium,H,SI2,60,60,6.29,6.25,4.96,16098
0.72,Ideal,H,VVS1,62.2,57,5.72,5.75,3.57,3075
0.58,Very Good,D,SI2,62.9,56,5.31,5.35,3.35,1438
1.5,Ideal,F,VS2,62.6,57,7.27,7.34,4.57,14759
1.2,Ideal,F,SI1,61.5,53,6.87,6.9,4.24,7463
0.5,Ideal,E,VS1,62.7,57,5.01,5.03,3.15,1591
0.96,Premium,I,SI2,62.7,58,6.24,6.2,3.9,3229
0.51,Very Good,F,VS2,62.9,55,5.08,5.12,3.21,1569
2.01,Premium,I,VS2,62.8,58,8.01,7.94,5.01,16778
0.57,Very Good,G,VS2,62.2,60,5.28,5.3,3.29,1617
1.12,Ideal,G,VS2,62.1,57,6.6,6.63,4.11,6209
1.17,Ideal,D,SI2,62.7,57,6.7,6.72,4.21,5842
1.5,Very Good,E,SI2,63.5,60,7.25,7.21,4.59,10080
0.92,Premium,D,SI1,62.5,59,6.24,6.14,3.87,5028
1.73,Very Good,G,VS1,62.8,57,7.57,7.72,4.8,15014
0.33,Premium,I,VS2,62,60,4.41,4.46,2.75,463
1.11,Very Good,I,SI2,61.2,61,6.65,6.69,4.08,3956
0.3,Very Good,E,VS2,62.8,56,4.28,4.32,2.7,658
0.71,Premium,D,VVS1,59.7,59,5.81,5.88,3.49,4482
0.41,Very Good,F,VVS1,62.7,59,4.75,4.78,2.99,1186
0.3,Ideal,G,IF,60.9,57,4.35,4.39,2.66,863
0.59,Premium,H,SI1,62.9,60,5.34,5.24,3.33,1265
0.33,Very Good,G,VS1,61.3,57,4.47,4.49,2.75,681
1.2,Premium,H,VS2,60.6,58,6.88,6.82,4.15,6666
1.2,Good,E,SI1,64,61,6.67,6.61,4.25,7096
0.73,Very Good,J,VS2,62.7,57,5.71,5.74,3.59,2101
1.01,Good,D,VS1,62.2,62,6.29,6.41,3.95,7303
0.39,Good,E,VS2,63.1,56,4.63,4.69,2.94,830
1.71,Good,G,SI2,63.7,57,7.54,7.5,4.79,6847
0.31,Ideal,D,SI1,62.3,54,4.37,4.33,2.71,732
1.09,Good,F,SI2,63.2,58,6.49,6.54,4.12,4766
1.03,Ideal,F,VS2,59.1,55,6.6,6.69,3.93,6543
0.52,Ideal,G,VS2,61.9,55,5.15,5.19,3.2,1586
0.36,Ideal,F,SI1,61.5,57,4.55,4.59,2.81,600
0.35,Premium,H,VVS1,61.2,60,4.51,4.54,2.77,798
0.31,Premium,H,VVS2,61.4,58,4.32,4.35,2.66,625
1.03,Ideal,E,VVS2,61.9,57,6.46,6.5,4.01,8811
1.05,Very Good,H,SI2,63,59,6.44,6.48,4.07,4158
0.44,Ideal,G,SI1,61.5,57,4.87,4.88,3,772
0.31,Premium,G,VS1,62.2,58,4.34,4.38,2.71,625
1.54,Ideal,H,SI2,60.9,56,7.45,7.43,4.53,9624
0.4,Very Good,G,SI1,62.7,59,4.67,4.71,2.94,702
1.14,Good,E,SI1,60.9,64,6.78,6.68,4.09,5899
0.31,Ideal,E,VS2,61.6,57,4.35,4.38,2.69,680
0.3,Ideal,F,SI1,60.6,57,4.34,4.37,2.64,609
0.38,Ideal,D,VVS2,59.7,62,4.71,4.74,2.82,1096
0.56,Ideal,F,VS1,61.7,56,5.3,5.33,3.28,1915
1.2,Very Good,I,SI1,63.8,57,6.64,6.72,4.26,5352
1.17,Ideal,D,SI2,62.5,56,6.77,6.7,4.21,5412
1.55,Very Good,H,SI1,63.2,57,7.35,7.31,4.64,7066
0.58,Ideal,D,SI2,61.2,57,5.4,5.36,3.29,1442
0.42,Very Good,G,VS1,62.4,59,4.78,4.8,2.99,921
0.41,Ideal,F,VS1,62,57,4.76,4.73,2.94,1076
0.73,Ideal,D,SI1,61.4,56,5.82,5.78,3.56,2943
0.3,Ideal,G,IF,62.3,56,4.29,4.32,2.68,863
0.55,Ideal,F,VVS2,60.7,56,5.31,5.34,3.23,2259
1.25,Premium,D,SI2,59.8,55,7.07,7.01,4.21,4543
0.4,Ideal,J,VVS2,61.8,55,4.76,4.79,2.95,662
0.72,Very Good,E,SI1,58.9,58,5.88,5.91,3.47,2646
1.06,Ideal,E,VS2,61.3,57,6.54,6.57,4.02,9092
0.63,Ideal,E,VS2,61.5,56,5.48,5.54,3.39,2513
1.1,Very Good,F,VVS1,62.2,59,6.56,6.69,4.12,10329
0.73,Ideal,F,SI1,59.6,57,5.88,5.86,3.5,2527
1.01,Premium,E,VS2,62.4,60,6.43,6.39,4,6606
0.31,Premium,G,SI1,61.4,58,4.35,4.31,2.66,593
1.07,Ideal,H,VS1,62.3,55,6.59,6.54,4.09,6082
0.37,Ideal,J,VS1,62.4,55,4.59,4.64,2.88,487
0.53,Ideal,G,VS2,60.9,57,5.25,5.26,3.2,1598
1.53,Premium,G,VS2,59.4,59,7.55,7.51,4.47,13077
1.52,Fair,H,SI2,65,57,7.12,7.09,4.62,7388
0.94,Premium,F,SI1,59.8,61,6.39,6.35,3.81,4748
0.35,Ideal,G,VS1,62.5,55,4.55,4.51,2.83,906
1.15,Ideal,G,VVS2,61.8,56,6.72,6.75,4.16,9457
0.41,Good,F,VS2,59.7,63,4.8,4.85,2.88,749
0.3,Very Good,H,SI1,62.9,56,4.28,4.31,2.7,421
2.1,Premium,J,SI2,62,62,8.23,8.17,5.08,12308
0.84,Very Good,G,SI2,62.9,55,5.99,6.12,3.8,2584
1.01,Ideal,D,SI2,61.2,56,6.41,6.46,3.94,4753
0.9,Very Good,G,VS1,62.3,60,6,6.08,3.76,4540
1,Premium,H,SI2,61,57,6.51,6.4,3.94,4032
0.65,Premium,D,VVS2,59.9,58,5.69,5.63,3.39,3003
0.55,Ideal,H,SI2,62.2,54,5.28,5.3,3.29,1057
1.02,Premium,H,VS2,60.2,62,6.54,6.46,3.91,5432
1.7,Premium,F,VS2,62.8,58,7.61,7.54,4.76,18251
0.3,Ideal,E,VS2,62.3,56,4.27,4.3,2.67,603
0.71,Premium,I,VVS2,61.9,60,5.69,5.75,3.54,2428
0.53,Very Good,G,SI1,60.2,57,5.22,5.28,3.16,1367
0.24,Premium,I,VS1,62.5,57,3.97,3.94,2.47,355
1.8,Premium,I,SI1,61.9,60,7.78,7.74,4.8,11948
1.13,Ideal,E,SI2,62.2,56,6.7,6.66,4.16,5457
2.19,Premium,E,SI2,62.4,61,8.31,8.23,5.16,18232
0.78,Ideal,H,SI2,62.6,56,5.88,5.81,3.66,1909
1.04,Premium,H,SI1,59.5,58,6.58,6.67,3.94,4890
1.06,Ideal,G,VS2,61.9,54,6.54,6.58,4.06,6890
0.75,Premium,H,VS1,61.9,61,5.85,5.82,3.61,2961
0.33,Premium,E,VS1,61,55,4.51,4.47,2.74,1069
0.37,Premium,E,VS2,60.2,58,4.65,4.68,2.81,757
1.55,Ideal,J,VS2,61.7,57,7.37,7.42,4.56,7416
0.7,Ideal,G,VS1,62.6,56,5.65,5.7,3.55,2670
0.5,Fair,G,VVS2,66.1,62,4.92,4.88,3.24,1659
0.31,Premium,G,VS1,62.2,58,4.38,4.34,2.71,802
0.54,Premium,F,VS1,61.8,59,5.16,5.23,3.21,1649
1.12,Premium,H,VS1,59.6,57,6.82,6.77,4.05,5055
1.2,Ideal,G,SI2,61.1,57,6.83,6.86,4.18,5722
1.74,Premium,H,SI1,61.6,59,7.7,7.62,4.72,8653
0.41,Very Good,J,VS1,63.2,59,4.7,4.67,2.96,797
0.39,Ideal,D,SI2,61.6,56,4.69,4.72,2.9,651
0.86,Ideal,I,VS2,63,53,6.1,6.06,3.83,2706
1.05,Premium,F,SI1,61.8,56,6.55,6.45,4.02,5557
1.5,Ideal,I,SI1,62.3,55,7.35,7.31,4.57,8736
1.15,Very Good,D,VS1,62.9,54,6.72,6.69,4.22,7978
1,Ideal,E,VS2,61.5,55,6.47,6.44,3.97,6989
1.55,Ideal,E,SI1,61.5,56,7.36,7.4,4.54,13171
0.74,Very Good,E,SI1,61.3,58,5.8,5.84,3.57,3009
0.43,Premium,F,VVS2,61.6,60,4.82,4.86,2.98,1169
1.51,Very Good,J,SI1,62.4,58,7.27,7.32,4.55,7136
0.3,Ideal,I,IF,62,57,4.28,4.3,2.66,615
0.7,Fair,I,I1,66.3,63,5.58,5.43,3.66,1014
0.4,Ideal,F,VVS2,61.7,56,4.72,4.74,2.92,1088
0.41,Ideal,E,VVS2,62.5,57,4.76,4.71,2.96,1082
0.71,Very Good,H,SI2,61.8,58,5.67,5.73,3.52,2141
0.27,Ideal,E,VVS2,62,55,4.12,4.14,2.56,622
0.32,Good,F,VS2,63.6,57,4.34,4.37,2.77,645
0.32,Ideal,I,VS2,62,57,4.41,4.36,2.72,576
1.02,Ideal,G,VS1,61.3,57,6.48,6.51,3.98,7324
1.52,Ideal,I,VS2,62.1,59,7.3,7.35,4.55,9465
0.37,Premium,F,SI1,62.4,59,4.6,4.56,2.86,791
0.4,Premium,G,IF,59.8,58,4.85,4.79,2.88,1397
0.31,Premium,G,VVS2,62.2,59,4.32,4.36,2.7,707
1.04,Premium,D,SI2,58.3,58,6.67,6.63,3.88,3780
1.04,Premium,I,SI1,62,57,6.5,6.47,4.02,4368
0.83,Ideal,F,SI1,62.2,55,6.01,6.03,3.74,3560
0.32,Ideal,D,VS2,61.9,57,4.37,4.39,2.71,758
1.2,Very Good,E,SI1,61.8,56,6.75,6.82,4.19,6534
1.07,Very Good,D,VS1,59.9,55,6.69,6.71,4.01,9681
0.42,Very Good,D,SI1,60.2,57,4.85,4.89,2.93,756
0.31,Ideal,G,VVS1,60.8,56,4.41,4.43,2.69,772
0.33,Premium,G,VVS2,62,59,4.46,4.41,2.75,965
0.51,Ideal,G,VS1,62.7,56,5.1,5.08,3.19,1781
0.84,Fair,G,SI1,55.1,67,6.39,6.2,3.47,2782
1.09,Good,D,IF,58.7,61,6.75,6.85,3.99,16406
0.51,Ideal,D,SI2,61.9,56,5.15,5.1,3.17,1359
0.38,Ideal,G,SI1,62.1,54,4.67,4.64,2.9,969
1.01,Premium,E,VS2,58.1,60,6.58,6.51,3.8,6516
0.23,Very Good,E,VVS2,60.9,59,3.96,3.99,2.42,530
1.01,Very Good,G,VS2,59.9,60,6.46,6.52,3.89,5759
0.32,Premium,I,VS1,61.9,58,4.4,4.36,2.71,648
1.54,Good,I,SI2,57.9,62,7.63,7.5,4.38,5989
0.42,Premium,G,SI1,61.6,61,4.82,4.79,2.96,882
0.3,Very Good,D,SI2,63.4,56,4.29,4.26,2.71,574
0.51,Ideal,E,SI1,62.3,56,5.15,5.12,3.2,1443
1.01,Very Good,F,SI2,60.8,63,6.32,6.38,3.86,3945
2.2,Ideal,G,SI2,59.9,57,8.54,8.49,5.1,14691
1,Premium,F,SI1,61.2,58,6.44,6.4,3.93,5292
2.74,Very Good,H,SI2,63.3,58,8.88,8.84,5.61,17184
0.31,Ideal,H,VVS1,61.6,55,4.38,4.35,2.69,907
0.38,Ideal,D,VS2,60.7,56,4.69,4.74,2.86,808
1.19,Premium,I,SI1,61.3,59,6.84,6.79,4.18,5464
0.3,Very Good,E,SI1,63.1,53,4.32,4.27,2.71,675
2.11,Premium,H,VS2,60.8,61,8.32,8.28,5.05,16395
0.55,Ideal,E,SI1,61.7,56,5.24,5.29,3.25,1551
0.31,Ideal,G,VS1,61,56,4.35,4.4,2.67,642
0.27,Very Good,G,IF,60.8,57,4.2,4.22,2.56,566
0.9,Good,D,SI2,63.9,60,6.07,6.11,3.89,3153
0.42,Very Good,G,SI1,60.6,62,4.82,4.85,2.93,687
1.01,Good,G,VS2,63.6,60,6.35,6.3,4.02,5701
0.76,Very Good,H,SI1,61.4,57,5.89,5.94,3.63,2557
0.41,Good,E,VS2,63.1,64,4.63,4.66,2.93,910
0.34,Ideal,F,VS1,61.1,57,4.51,4.55,2.77,692
1.21,Ideal,G,VS1,62.2,56,6.87,6.85,4.26,9026
0.91,Fair,E,VS1,64.5,58,6.14,6.1,3.95,4770
0.55,Ideal,G,VS1,60.9,55,5.34,5.37,3.26,1991
0.31,Very Good,G,VVS2,62.2,56,4.31,4.34,2.69,651
1.03,Premium,D,SI2,61.7,58,6.47,6.5,4,4679
0.32,Ideal,E,VVS2,61.5,57,4.4,4.41,2.71,842
1.16,Ideal,I,SI1,62.4,57,6.71,6.75,4.2,5107
0.38,Very Good,F,VS1,62.8,56,4.59,4.64,2.9,933
0.35,Ideal,D,SI2,62.4,55,4.53,4.54,2.83,522
0.74,Very Good,I,VVS1,62.6,57,5.76,5.78,3.61,2666
0.75,Premium,G,SI1,59.4,62,5.95,5.91,3.52,1980
0.26,Very Good,F,VS1,61.7,58,4.1,4.14,2.54,453
1.53,Ideal,E,SI1,62.3,54.2,7.35,7.38,4.59,12791
0.52,Very Good,G,SI1,61.7,57,5.13,5.16,3.17,1311
0.32,Premium,H,SI1,60.9,60,4.4,4.43,2.69,461
1.52,Very Good,G,SI1,62.5,58,7.26,7.3,4.55,10150
1.08,Ideal,H,SI1,61.8,54,6.6,6.61,4.09,5517
1.04,Premium,E,VVS2,62.8,58,6.45,6.42,4.04,9882
0.63,Very Good,D,SI1,62.8,57,5.4,5.46,3.41,1885
0.33,Ideal,H,IF,61.6,55,4.44,4.47,2.74,820
0.91,Good,D,SI2,63.3,62,6.01,6.09,3.83,3660
0.43,Good,E,SI2,63.6,55,4.8,4.83,3.06,669
0.91,Very Good,G,VS2,59.5,58,6.26,6.34,3.75,4316
0.33,Premium,E,SI1,60.2,58,4.55,4.49,2.72,743
0.77,Fair,H,VS1,64.6,56.4,5.78,5.84,3.75,2594
1.02,Premium,F,VS2,62.7,59,6.41,6.44,4.03,6220
0.31,Premium,F,VS2,61.5,56,4.41,4.34,2.69,802
0.3,Premium,F,VS1,61.9,59,4.3,4.26,2.65,844
0.56,Ideal,G,VVS1,62.3,55,5.25,5.31,3.29,2055
1.19,Very Good,G,SI1,62.8,57,6.71,6.77,4.23,6127
0.72,Ideal,I,VVS2,61.3,56,5.77,5.8,3.55,2591
1,Very Good,E,VS2,63.8,59,6.25,6.32,4.01,6315
0.7,Good,I,VS2,59.4,57,5.77,5.82,3.44,2234
0.35,Ideal,E,VS1,62,55,4.54,4.58,2.82,900
1.01,Good,F,SI1,63.3,59,6.38,6.42,4.05,4899
0.3,Premium,D,VVS2,62.4,58,4.26,4.3,2.67,752
0.7,Good,F,SI1,63.8,58,5.56,5.67,3.58,2121
0.7,Ideal,H,VS1,61.7,57,5.66,5.7,3.5,3185
0.57,Premium,E,SI1,61.4,58,5.28,5.34,3.26,1608
0.71,Ideal,H,VS1,61.6,57,5.74,5.79,3.55,2175
0.34,Premium,E,VS1,58,60,4.63,4.61,2.68,757
0.65,Fair,F,VS2,58.3,64,5.7,5.62,3.3,1881
0.32,Ideal,D,SI2,61.4,56,4.43,4.46,2.73,477
0.38,Premium,H,VVS2,62,58,4.64,4.62,2.87,1069
0.32,Ideal,D,VVS1,61.9,56,4.39,4.36,2.71,1140
0.32,Ideal,G,SI2,61.8,55,4.4,4.43,2.73,450
0.7,Ideal,F,SI2,65,53,5.61,5.56,3.63,2394
0.36,Ideal,F,IF,62.2,55,4.57,4.62,2.86,1137
1.07,Ideal,G,IF,61.5,57,6.54,6.59,4.04,9361
0.9,Good,H,SI2,63.5,58,6.09,6.14,3.88,2889
1.01,Ideal,E,SI2,61.1,59,6.53,6.47,3.97,4787
0.31,Premium,E,VVS2,60.8,55,4.43,4.38,2.68,1046
1.5,Very Good,E,SI1,60.5,63,7.42,7.35,4.48,10046
0.38,Ideal,E,VS2,61.9,57,4.61,4.66,2.87,751
1.03,Fair,H,SI2,67,61,6.25,6.17,4.16,4038
0.5,Premium,E,SI2,61.3,56,5.13,5.08,3.13,1240
0.7,Good,I,SI1,63.6,55,5.62,5.58,3.56,1995
1,Very Good,E,IF,62.5,55,6.28,6.39,3.96,11214
0.33,Ideal,I,VVS2,62.7,54,4.45,4.42,2.78,743
0.39,Premium,H,SI2,62.4,59,4.65,4.58,2.88,721
1,Good,F,VVS2,56.5,63,6.65,6.62,3.75,7016
0.53,Ideal,E,SI1,61.9,55,5.18,5.22,3.22,1435
0.49,Premium,E,SI1,61.5,58,5.08,5.06,3.12,1084
0.52,Very Good,E,VS1,63.4,54,5.08,5.11,3.23,1601
1.26,Premium,H,SI1,61.3,57,7.01,6.93,4.27,7056
0.54,Very Good,F,VS2,58.2,60,5.34,5.39,3.12,1551
1.04,Ideal,I,VS1,61.4,58,6.46,6.54,3.99,5572
0.71,Very Good,E,VS2,60.7,58,5.73,5.81,3.5,3217
0.36,Premium,F,SI1,62.3,59,4.5,4.56,2.82,600
0.9,Good,E,VS2,63.7,58,6.06,6.09,3.87,3948
0.97,Good,J,VS2,60,56,6.4,6.46,3.86,3717
0.33,Ideal,G,VVS2,62.5,54,4.45,4.41,2.77,965
0.33,Ideal,D,SI1,62.5,54,4.44,4.43,2.77,780
0.53,Very Good,G,SI2,60.8,58,5.19,5.21,3.16,1070
1.01,Fair,D,VS2,65.3,58,6.29,6.24,4.09,6366
1.5,Very Good,I,SI2,62.7,57,7.28,7.35,4.59,7392
0.92,Premium,E,SI2,62.1,58,6.22,6.18,3.85,3941
0.51,Premium,E,VS2,59.2,61,5.17,5.16,3.06,1662
0.32,Ideal,E,VVS1,60.9,56,4.41,4.43,2.69,813
1.57,Ideal,I,SI2,62.6,58,7.38,7.41,4.63,8228
1.03,Premium,H,SI1,60.7,60,6.61,6.53,3.99,4384
0.38,Ideal,I,VVS2,62,55,4.65,4.67,2.89,836
1.75,Premium,F,SI2,58,59,7.97,7.92,4.61,8820
1.5,Good,D,SI2,61.1,64,7.26,7.35,4.46,7722
1.1,Ideal,F,VS2,60.7,57,6.66,6.7,4.05,8977
1.53,Very Good,D,SI1,59.2,57,7.52,7.55,4.46,11873
1.23,Premium,I,VS2,61.7,58,6.87,6.85,4.23,5622
1.22,Ideal,H,VVS2,61.7,56,6.83,6.87,4.23,9366
1.09,Very Good,F,VS2,61.4,54,6.66,6.7,4.1,6990
1,Good,E,SI1,59.3,61,6.42,6.53,3.84,4916
0.43,Ideal,H,VVS1,62.3,54,4.84,4.85,3.02,1094
0.27,Good,E,VS1,57.5,63,4.24,4.28,2.45,377
1,Fair,H,VS1,64.6,59,6.3,6.26,4.06,5242
1.12,Very Good,H,SI1,63.1,56,6.62,6.59,4.17,4576
1.45,Premium,H,VS2,58.4,59,7.44,7.42,4.34,9216
0.43,Ideal,E,VS1,61.2,56,4.89,4.94,3.01,981
0.41,Ideal,J,VS1,60.2,57,4.85,4.81,2.91,830
1.5,Premium,F,VS2,61,58,7.37,7.31,4.48,14352
0.79,Ideal,E,VS2,62.2,55,5.97,5.9,3.69,3861
1,Fair,E,VS2,65,58,6.21,6.16,4.02,5376
1.01,Good,D,VS2,60.1,64,6.36,6.32,3.81,5986
1.07,Ideal,G,SI1,60.2,57,6.7,6.59,4,5453
0.38,Very Good,D,VS2,61,58,4.7,4.75,2.88,847
1.7,Ideal,I,VS1,62.2,55,7.63,7.67,4.76,12622
0.9,Premium,I,VS2,59.1,59,6.28,6.24,3.7,3385
0.67,Ideal,G,VS2,61.4,57,5.7,5.67,3.49,1910
1.58,Ideal,H,SI1,61.4,56,7.53,7.46,4.6,10738
0.41,Ideal,I,VVS2,62.4,57,4.68,4.75,2.94,843
0.5,Premium,F,VS1,62,58,5.03,5.1,3.14,1710
0.83,Premium,H,SI1,62.5,59,6.02,5.95,3.74,2825
0.43,Premium,F,VS2,59.8,58,4.94,4.89,2.94,968
0.26,Very Good,H,VVS2,62.4,58,4.04,4.07,2.53,468
0.41,Very Good,I,VVS2,62.9,58,4.71,4.74,2.97,827
1.01,Ideal,G,VS2,61.6,56,6.46,6.43,3.97,6353
0.99,Good,F,SI2,63.3,54,6.36,6.43,4.05,4052
1.22,Premium,G,SI1,60.7,59,6.92,6.96,4.21,6492
0.6,Ideal,G,VS1,61.3,57,5.4,5.47,3.33,2105
0.32,Premium,G,VS2,62.8,58,4.35,4.31,2.72,720
