일시,평균기온(°C),일강수량(mm),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2),평균 지면온도(°C)
20220322,10.8,0.0,57.6,11.5,7.5,12.6,11.4
20220323,11.3,0.0,57.9,11.5,7.5,12.7,11.9
20220324,11.8,0.0,58.1,11.6,7.4,12.8,12.4
20220325,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220326,12.2,0.0,58.2,11.6,7.3,12.9,12.9
20220327,11.8,0.0,57.8,11.5,7.4,12.7,12.4
20220328,10.7,0.0,57.0,11.4,7.4,12.4,11.3
20220329,9.5,-0.0,56.1,11.2,7.5,12.1,10.0
20220330,9.4,-0.0,56.2,11.3,7.5,12.1,9.9
20220331,9.7,-0.0,56.7,11.4,7.6,12.3,10.3
20220401,10.2,0.0,57.1,11.4,7.5,12.4,10.7
20220402,10.7,0.0,57.5,11.5,7.5,12.5,11.3
20220403,11.2,0.0,57.8,11.5,7.5,12.7,11.8
20220404,11.7,0.0,58.1,11.6,7.4,12.8,12.4
20220405,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220406,12.3,0.0,58.3,11.6,7.3,12.9,13.0
20220407,11.9,0.0,57.9,11.5,7.3,12.8,12.6
20220408,10.8,0.0,57.0,11.4,7.4,12.5,11.4
20220409,9.2,-0.0,55.7,11.2,7.5,12.0,9.6
20220410,8.7,-0.0,55.6,11.2,7.6,11.9,9.2
20220411,9.1,-0.0,56.2,11.3,7.6,12.1,9.5
20220412,9.4,0.0,56.6,11.4,7.6,12.2,9.9
20220413,9.8,0.0,56.9,11.4,7.6,12.3,10.4
20220414,10.3,0.0,57.3,11.5,7.5,12.4,10.9
20220415,10.8,0.0,57.6,11.5,7.5,12.6,11.4
20220416,11.3,0.0,57.9,11.6,7.5,12.7,12.0
20220417,11.8,0.0,58.2,11.6,7.4,12.8,12.4
20220418,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220419,12.2,0.0,58.2,11.6,7.3,12.9,12.9
20220420,11.8,0.0,57.8,11.5,7.4,12.7,12.4
20220421,10.7,0.0,56.9,11.4,7.4,12.4,11.2
20220422,9.4,-0.0,56.0,11.2,7.5,12.1,9.9
20220423,9.3,-0.0,56.1,11.3,7.5,12.1,9.8
20220424,9.7,-0.0,56.7,11.4,7.6,12.2,10.2
20220425,10.1,0.0,57.1,11.4,7.6,12.4,10.6
20220426,10.6,0.0,57.4,11.5,7.5,12.5,11.1
20220427,11.0,0.0,57.7,11.5,7.5,12.6,11.6
20220428,11.5,0.0,58.0,11.6,7.4,12.7,12.1
20220429,11.9,0.0,58.2,11.6,7.4,12.8,12.6
20220430,12.2,0.0,58.3,11.6,7.4,12.9,12.8
20220501,12.1,0.0,58.1,11.6,7.3,12.8,12.8
20220502,11.5,0.0,57.6,11.5,7.4,12.7,12.2
20220503,10.5,0.0,56.9,11.4,7.4,12.4,11.1
20220504,9.7,-0.0,56.2,11.3,7.5,12.1,10.2
20220505,9.9,-0.0,56.6,11.3,7.5,12.2,10.4
20220506,10.3,0.0,57.2,11.4,7.5,12.4,10.9
20220507,10.8,0.0,57.6,11.5,7.5,12.6,11.4
20220508,11.3,0.0,57.9,11.5,7.5,12.7,12.0
20220509,11.8,0.0,58.2,11.6,7.4,12.8,12.5
20220510,12.2,0.0,58.3,11.6,7.4,12.9,12.8
20220511,12.2,0.0,58.3,11.6,7.3,12.9,12.9
20220512,11.8,0.0,57.8,11.5,7.4,12.7,12.4
20220513,10.6,0.0,56.9,11.4,7.4,12.4,11.2
20220514,9.3,-0.0,55.9,11.2,7.5,12.0,9.8
20220515,9.2,-0.0,56.0,11.2,7.5,12.0,9.7
20220516,9.6,-0.0,56.6,11.4,7.6,12.2,10.1
20220517,10.0,0.0,57.0,11.4,7.6,12.3,10.5
20220518,10.5,0.0,57.4,11.5,7.5,12.5,11.0
20220519,10.9,0.0,57.7,11.5,7.5,12.6,11.5
20220520,11.4,0.0,58.0,11.6,7.4,12.7,12.0
20220521,11.8,0.0,58.2,11.6,7.4,12.8,12.5
20220522,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220523,12.2,0.0,58.2,11.6,7.3,12.9,12.8
20220524,11.6,0.0,57.7,11.5,7.4,12.7,12.3
20220525,10.6,0.0,56.9,11.4,7.4,12.4,11.1
20220526,9.5,-0.0,56.1,11.3,7.5,12.1,10.0
20220527,9.7,-0.0,56.4,11.3,7.5,12.2,10.2
20220528,10.0,0.0,57.0,11.4,7.5,12.3,10.6
20220529,10.5,0.0,57.4,11.5,7.5,12.5,11.0
20220530,10.9,0.0,57.7,11.5,7.5,12.6,11.5
20220531,11.4,0.0,57.9,11.6,7.4,12.7,12.0
20220601,11.8,0.0,58.1,11.6,7.4,12.8,12.4
20220602,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220603,12.2,0.0,58.3,11.6,7.3,12.9,12.9
20220604,11.8,0.0,57.9,11.5,7.3,12.7,12.5
20220605,10.7,0.0,57.0,11.4,7.4,12.4,11.3
20220606,9.4,-0.0,56.0,11.2,7.5,12.1,9.9
20220607,9.3,-0.0,56.1,11.3,7.5,12.1,9.8
20220608,9.7,-0.0,56.7,11.4,7.6,12.2,10.2
20220609,10.1,0.0,57.1,11.4,7.6,12.4,10.6
20220610,10.6,0.0,57.4,11.5,7.5,12.5,11.1
20220611,11.1,0.0,57.7,11.5,7.5,12.6,11.7
20220612,11.5,0.0,58.0,11.6,7.4,12.7,12.2
20220613,12.0,0.0,58.2,11.6,7.4,12.8,12.6
20220614,12.2,0.0,58.3,11.6,7.3,12.9,12.9
20220615,12.1,0.0,58.1,11.6,7.3,12.8,12.8
20220616,11.4,0.0,57.5,11.5,7.4,12.6,12.1
20220617,10.2,-0.0,56.6,11.3,7.4,12.3,10.7
20220618,9.3,-0.0,56.0,11.2,7.5,12.1,9.8
20220619,9.7,-0.0,56.5,11.3,7.5,12.2,10.2
20220620,10.0,0.0,57.0,11.4,7.5,12.3,10.5
20220621,10.5,0.0,57.4,11.5,7.5,12.5,11.0
20220622,10.9,0.0,57.7,11.5,7.5,12.6,11.5
20220623,11.4,0.0,57.9,11.6,7.4,12.7,12.0
20220624,11.8,0.0,58.2,11.6,7.4,12.8,12.5
20220625,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220626,12.1,0.0,58.2,11.6,7.3,12.9,12.8
20220627,11.7,0.0,57.8,11.5,7.4,12.7,12.3
20220628,10.7,0.0,57.0,11.4,7.4,12.4,11.3
20220629,9.8,-0.0,56.4,11.3,7.5,12.2,10.3
20220630,9.8,-0.0,56.6,11.3,7.5,12.2,10.4
20220701,10.2,0.0,57.1,11.4,7.5,12.4,10.8
20220702,10.7,0.0,57.5,11.5,7.5,12.5,11.3
20220703,11.2,0.0,57.8,11.5,7.5,12.7,11.8
20220704,11.7,0.0,58.1,11.6,7.4,12.8,12.3
20220705,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220706,12.3,0.0,58.3,11.6,7.3,12.9,13.0
20220707,12.0,0.0,58.0,11.5,7.3,12.8,12.7
20220708,11.1,0.0,57.2,11.4,7.4,12.5,11.7
20220709,9.7,-0.0,56.2,11.3,7.5,12.1,10.2
20220710,9.2,-0.0,56.0,11.2,7.5,12.0,9.7
20220711,9.6,-0.0,56.6,11.3,7.6,12.2,10.2
20220712,10.0,0.0,57.0,11.4,7.6,12.4,10.6
20220713,10.5,0.0,57.4,11.5,7.5,12.5,11.1
20220714,11.0,0.0,57.7,11.5,7.5,12.6,11.6
20220715,11.4,0.0,58.0,11.6,7.4,12.7,12.1
20220716,11.9,0.0,58.2,11.6,7.4,12.8,12.5
20220717,12.2,0.0,58.3,11.6,7.4,12.9,12.8
20220718,12.2,0.0,58.2,11.6,7.3,12.9,12.8
20220719,11.7,0.0,57.7,11.5,7.4,12.7,12.3
20220720,10.6,0.0,56.9,11.4,7.4,12.4,11.2
20220721,9.7,-0.0,56.3,11.3,7.5,12.1,10.2
20220722,9.8,-0.0,56.5,11.3,7.5,12.2,10.3
20220723,10.2,0.0,57.1,11.4,7.5,12.4,10.7
20220724,10.6,0.0,57.4,11.5,7.5,12.5,11.2
20220725,11.1,0.0,57.7,11.5,7.5,12.6,11.7
20220726,11.5,0.0,58.0,11.6,7.4,12.7,12.1
20220727,11.9,0.0,58.2,11.6,7.4,12.8,12.5
20220728,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220729,12.1,0.0,58.1,11.6,7.3,12.8,12.7
20220730,11.5,0.0,57.7,11.5,7.4,12.7,12.2
20220731,10.6,0.0,57.0,11.4,7.4,12.4,11.2
20220801,9.9,-0.0,56.5,11.3,7.5,12.2,10.5
20220802,10.2,-0.0,56.9,11.4,7.5,12.3,10.8
20220803,10.7,0.0,57.4,11.5,7.5,12.5,11.3
20220804,11.2,0.0,57.8,11.5,7.5,12.6,11.8
20220805,11.6,0.0,58.1,11.6,7.4,12.8,12.3
20220806,12.0,0.0,58.3,11.6,7.4,12.8,12.7
20220807,12.2,0.0,58.3,11.6,7.3,12.9,12.9
20220808,12.1,0.0,58.1,11.6,7.3,12.8,12.7
20220809,11.3,0.0,57.4,11.5,7.4,12.6,11.9
20220810,10.1,-0.0,56.5,11.3,7.5,12.3,10.6
20220811,9.4,-0.0,56.1,11.3,7.5,12.1,9.9
20220812,9.8,-0.0,56.7,11.4,7.5,12.3,10.3
20220813,10.2,0.0,57.1,11.4,7.5,12.4,10.7
20220814,10.7,0.0,57.5,11.5,7.5,12.5,11.2
20220815,11.1,0.0,57.8,11.5,7.5,12.6,11.7
20220816,11.6,0.0,58.0,11.6,7.4,12.7,12.2
20220817,12.0,0.0,58.2,11.6,7.4,12.8,12.6
20220818,12.2,0.0,58.3,11.6,7.4,12.9,12.9
20220819,12.1,0.0,58.1,11.6,7.3,12.8,12.7
20220820,11.4,0.0,57.6,11.5,7.4,12.6,12.1
20220821,10.4,-0.0,56.8,11.4,7.4,12.3,11.0
20220822,9.8,-0.0,56.4,11.3,7.5,12.2,10.3
20220823,10.1,-0.0,56.8,11.4,7.5,12.3,10.6
20220824,10.5,0.0,57.3,11.5,7.5,12.5,11.0
20220825,10.9,0.0,57.6,11.5,7.5,12.6,11.5
20220826,11.3,0.0,57.9,11.5,7.5,12.7,11.9
20220827,11.7,0.0,58.1,11.6,7.4,12.8,12.4
20220828,12.0,0.0,58.2,11.6,7.4,12.8,12.7
20220829,12.1,0.0,58.2,11.6,7.4,12.9,12.8
20220830,11.8,0.0,57.9,11.5,7.4,12.8,12.5
20220831,11.1,0.0,57.3,11.4,7.4,12.6,11.7
20220901,10.3,-0.0,56.7,11.3,7.5,12.3,10.8
20220902,10.2,-0.0,56.8,11.4,7.5,12.3,10.7
20220903,10.6,0.0,57.3,11.5,7.5,12.5,11.2
20220904,11.1,0.0,57.7,11.5,7.5,12.6,11.7
20220905,11.5,0.0,58.0,11.6,7.4,12.7,12.2
20220906,11.9,0.0,58.2,11.6,7.4,12.8,12.6
20220907,12.2,0.0,58.3,11.6,7.4,12.9,12.9
20220908,12.1,0.0,58.2,11.6,7.3,12.8,12.8
20220909,11.5,0.0,57.6,11.5,7.4,12.7,12.2
20220910,10.4,0.0,56.8,11.4,7.4,12.4,11.0
20220911,9.6,-0.0,56.3,11.3,7.5,12.1,10.2
20220912,9.9,-0.0,56.7,11.4,7.5,12.3,10.4
20220913,10.3,0.0,57.2,11.4,7.5,12.4,10.9
20220914,10.8,0.0,57.5,11.5,7.5,12.5,11.3
20220915,11.2,0.0,57.8,11.5,7.5,12.7,11.8
20220916,11.6,0.0,58.1,11.6,7.4,12.8,12.3
20220917,12.0,0.0,58.2,11.6,7.4,12.8,12.7
20220918,12.2,0.0,58.3,11.6,7.4,12.9,12.9
20220919,12.0,0.0,58.1,11.6,7.3,12.8,12.7
20220920,11.3,0.0,57.5,11.5,7.4,12.6,12.0
20220921,10.3,-0.0,56.8,11.4,7.4,12.3,10.9
20220922,9.9,-0.0,56.5,11.3,7.5,12.2,10.4
20220923,10.2,0.0,57.0,11.4,7.5,12.4,10.8
20220924,10.6,0.0,57.4,11.5,7.5,12.5,11.2
20220925,11.1,0.0,57.7,11.5,7.5,12.6,11.7
20220926,11.5,0.0,58.0,11.6,7.4,12.7,12.1
20220927,11.8,0.0,58.2,11.6,7.4,12.8,12.5
20220928,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20220929,12.1,0.0,58.1,11.6,7.4,12.8,12.7
20220930,11.6,0.0,57.8,11.5,7.4,12.7,12.3
20221001,10.9,0.0,57.2,11.4,7.4,12.5,11.5
20221002,10.3,-0.0,56.8,11.4,7.5,12.3,10.8
20221003,10.5,0.0,57.0,11.4,7.5,12.4,11.0
20221004,10.9,0.0,57.5,11.5,7.5,12.6,11.5
20221005,11.4,0.0,57.9,11.5,7.4,12.7,12.0
20221006,11.8,0.0,58.1,11.6,7.4,12.8,12.4
20221007,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20221008,12.2,0.0,58.2,11.6,7.3,12.9,12.9
20221009,11.9,0.0,57.9,11.5,7.4,12.8,12.5
20221010,11.0,0.0,57.2,11.4,7.4,12.5,11.6
20221011,10.0,-0.0,56.5,11.3,7.5,12.2,10.6
20221012,9.9,-0.0,56.6,11.3,7.5,12.2,10.4
20221013,10.3,0.0,57.1,11.4,7.5,12.4,10.9
20221014,10.7,0.0,57.5,11.5,7.5,12.5,11.3
20221015,11.2,0.0,57.8,11.5,7.5,12.6,11.8
20221016,11.6,0.0,58.0,11.6,7.4,12.7,12.2
20221017,11.9,0.0,58.2,11.6,7.4,12.8,12.6
20221018,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20221019,12.0,0.0,58.1,11.6,7.3,12.8,12.7
20221020,11.5,0.0,57.6,11.5,7.4,12.7,12.1
20221021,10.6,0.0,56.9,11.4,7.4,12.4,11.1
20221022,10.0,-0.0,56.6,11.3,7.5,12.3,10.6
20221023,10.3,0.0,57.0,11.4,7.5,12.4,10.9
20221024,10.7,0.0,57.4,11.5,7.5,12.5,11.3
20221025,11.1,0.0,57.8,11.5,7.5,12.6,11.7
20221026,11.5,0.0,58.0,11.6,7.4,12.7,12.1
20221027,11.9,0.0,58.2,11.6,7.4,12.8,12.5
20221028,12.1,0.0,58.2,11.6,7.4,12.9,12.8
20221029,12.0,0.0,58.1,11.6,7.4,12.8,12.7
20221030,11.6,0.0,57.7,11.5,7.4,12.7,12.3
20221031,10.9,0.0,57.2,11.4,7.4,12.5,11.5
20221101,10.3,-0.0,56.8,11.4,7.5,12.3,10.9
20221102,10.5,0.0,57.1,11.4,7.5,12.4,11.1
20221103,11.0,0.0,57.6,11.5,7.5,12.6,11.6
20221104,11.4,0.0,57.9,11.5,7.4,12.7,12.0
20221105,11.8,0.0,58.2,11.6,7.4,12.8,12.5
20221106,12.1,0.0,58.3,11.6,7.4,12.9,12.8
20221107,12.2,0.0,58.2,11.6,7.3,12.9,12.9
20221108,11.8,0.0,57.9,11.5,7.4,12.7,12.5
20221109,11.0,0.0,57.2,11.4,7.4,12.5,11.6
20221110,10.1,-0.0,56.6,11.3,7.5,12.3,10.6
20221111,10.0,-0.0,56.7,11.3,7.5,12.3,10.6
20221112,10.4,0.0,57.2,11.4,7.5,12.4,11.0
20221113,10.9,0.0,57.6,11.5,7.5,12.6,11.4
20221114,11.3,0.0,57.9,11.5,7.5,12.7,11.9
20221115,11.7,0.0,58.1,11.6,7.4,12.8,12.3
20221116,12.0,0.0,58.2,11.6,7.4,12.8,12.7
20221117,12.2,0.0,58.3,11.6,7.4,12.9,12.8
20221118,12.0,0.0,58.0,11.5,7.4,12.8,12.6
20221119,11.3,0.0,57.5,11.5,7.4,12.6,11.9
20221120,10.4,0.0,56.8,11.4,7.4,12.4,11.0
20221121,10.1,-0.0,56.7,11.3,7.5,12.3,10.7
20221122,10.5,0.0,57.2,11.4,7.5,12.4,11.0
20221123,10.9,0.0,57.6,11.5,7.5,12.6,11.5
20221124,11.3,0.0,57.9,11.5,7.5,12.7,11.9
20221125,11.6,0.0,58.1,11.6,7.4,12.8,12.3
20221126,12.0,0.0,58.2,11.6,7.4,12.8,12.6
20221127,12.1,0.0,58.2,11.6,7.4,12.9,12.8
20221128,11.9,0.0,58.0,11.6,7.4,12.8,12.6
20221129,11.4,0.0,57.6,11.5,7.4,12.6,12.0
20221130,10.7,0.0,57.0,11.4,7.4,12.4,11.2
